Candidate,CAND_ID,District,Party,State,Emily Endorsed?,Partisan Lean,TTL_RECEIPTS,TRANS_FROM_AUTH,CAND_CONTRIB,TTL_INDIV_CONTRIB,OTHER_POL_CMTE_CONTRIB,Primary %,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Race Type,CAND_ICI,Num_Unique_Contributions
Michael Kotick,H8CA48100,U.S. House California District 48,D,CA,-1.0,-4.1799998,531818.3,0.0,134531.68,205022.65,0.0,3.26,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,93
Rachel Payne,H8CA48159,U.S. House California District 48,D,CA,1.0,-4.1799998,388067.99,0.0,94688.53,285640.51,5000.0,4.4899998,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,262
Mike Levin,H8CA49058,U.S. House California District 49,D,CA,-1.0,1.42,6055213.14,732115.69,11525.82,4769047.65,509592.08,34.400002,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,1303
Paul Kerr,H8CA49066,U.S. House California District 49,D,CA,-1.0,1.42,8182261.8,0.0,5715217.54,350943.74,11000.0,8.75,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,256
Sara Jacobs,H8CA49074,U.S. House California District 49,D,CA,1.0,1.42,2905005.64,19000.0,2155798.19,714960.25,13500.0,31.09,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,368
Diane Harkey,H8CA49082,U.S. House California District 49,R,CA,-1.0,1.42,1645908.41,2359.84,2000.0,1267485.32,266882.0,52.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Regular,O,324
Kristin Gaspar,H8CA49090,U.S. House California District 49,R,CA,-1.0,1.42,393401.99,0.0,0.0,370604.0,16999.99,18.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,Regular,O,310
Brian Maryott,H8CA49108,U.S. House California District 49,R,CA,-1.0,1.42,760193.75,0.0,50.0,52178.0,0.0,6.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,Regular,O,42
Craig Nordal,H8CA49157,U.S. House California District 49,R,CA,-1.0,1.42,11821.14,0.0,0.0,436.25,0.0,1.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,Regular,O,1
Joshua Schoonover,H8CA50155,U.S. House California District 49,R,CA,-1.0,1.42,12322.56,0.0,5247.56,7075.0,0.0,1.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,Regular,O,1
Ammar Campa-Najjar,H8CA50098,U.S. House California District 50,D,CA,0.0,-19.48,4079157.61,71129.59,0.0,3799707.95,190162.52,48.360001000000004,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,591
Josh Butner,H8CA50106,U.S. House California District 50,D,CA,0.0,-19.48,758932.09,105921.96,10820.82,576456.22,60700.0,35.509997999999996,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,431
John Renison Jr.,H8CA51054,U.S. House California District 51,R,CA,-1.0,-7.729106964285712,52810.18,0.0,5250.0,5745.0,0.0,45.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,12
Juan Hidalgo,H8CA51062,U.S. House California District 51,R,CA,-1.0,-7.729106964285712,73237.31,0.0,0.0,62201.87,6250.0,49.39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,29
Danny Casara,H8CA50130,U.S. House California District 52,R,CA,-1.0,-7.729106964285712,30802.77,0.0,0.0,23302.77,1000.0,11.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,17
Omar Qudrat,H8CA52102,U.S. House California District 52,R,CA,-1.0,-7.729106964285712,375254.09,0.0,0.0,295315.27,9300.0,37.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,139
Michael Allman,H8CA52136,U.S. House California District 52,R,CA,-1.0,-7.729106964285712,415109.45,0.0,77.45,113032.0,2000.0,9.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,68
Morgan Murtaugh,H8CA53084,U.S. House California District 53,R,CA,-1.0,-7.729106964285712,94570.86,0.0,0.0,94570.86,0.0,42.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,28
Shawn Gino Kane,H8CA53092,U.S. House California District 53,R,CA,-1.0,-7.729106964285712,2600.0,0.0,0.0,2600.0,0.0,10.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,4
Joe Neguse,H8CO02160,U.S. House Colorado District 2,D,CO,0.0,18.040001,1278815.1,54798.78,920.12,813690.2,378256.26,65.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,625
Mark Williams,H8CO02202,U.S. House Colorado District 2,D,CO,0.0,18.040001,93203.09,0.0,0.0,87431.81,0.0,34.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,85
Peter Yu,H8CO02251,U.S. House Colorado District 2,R,CO,-1.0,18.040001,67708.0,0.0,0.0,60358.0,2350.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,O,14
Diane Mitsch Bush,H8CO03192,U.S. House Colorado District 3,D,CO,1.0,-13.03,1910245.26,979.65,22277.52,1792836.79,81205.0,64.099998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,457
Karl Hanlon,H8CO03218,U.S. House Colorado District 3,D,CO,-1.0,-13.03,305207.2,0.0,7829.61,237053.52,150.0,27.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,208
Karen McCormick,H8CO04091,U.S. House Colorado District 4,D,CO,0.0,-24.68,976113.46,0.0,7742.65,875438.22,35627.59,64.629997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,196
Stephany Rose Spaulding,H8CO05130,U.S. House Colorado District 5,D,CO,0.0,-25.73,368323.3,0.0,12323.32,319567.98,36432.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,127
Jason Crow,H8CO06229,U.S. House Colorado District 6,D,CO,0.0,5.420000099999999,5712546.74,964276.91,0.0,4192539.46,544541.17,65.940002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1248
Levi Tillemann,H8CO06245,U.S. House Colorado District 6,D,CO,0.0,5.420000099999999,351801.95,0.0,325.0,326018.67,4000.0,34.060001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,274
Mark Barrington,H8CO07094,U.S. House Colorado District 7,R,CO,-1.0,-6.72599978,54976.96,0.0,0.0,54251.96,725.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,28
Lisa Ring,H8GA01063,U.S. House Georgia District 1,D,GA,0.0,-17.379998999999998,224120.32,0.0,2025.0,212455.55,9639.77,67.540001,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,60
Herman West Jr.,H8GA02087,U.S. House Georgia District 2,R,GA,-1.0,-23.386249708333338,22549.0,0.0,0.0,19049.0,3500.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,14
Joe Profit,H8GA04125,U.S. House Georgia District 4,R,GA,-1.0,-23.386249708333338,81618.47,0.0,0.0,68818.47,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,2
Bobby Kaple,H8GA06369,U.S. House Georgia District 6,D,GA,-1.0,-9.4799995,693572.44,0.0,0.0,447154.83,14750.0,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,377
Kevin Abel,H8GA06377,U.S. House Georgia District 6,D,GA,-1.0,-9.4799995,898580.07,0.0,0.0,733163.2,0.0,30.540001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,627
Steven Knight Griffin,H8GA06401,U.S. House Georgia District 6,D,GA,-1.0,-9.4799995,12303.07,0.0,0.0,6118.27,0.0,6.9499998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,6
Kathleen Allen,H8GA07144,U.S. House Georgia District 7,D,GA,-1.0,-12.73,96833.08,0.0,0.0,45833.08,1000.0,11.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,31
David Kim,H8GA07151,U.S. House Georgia District 7,D,GA,-1.0,-12.73,1547808.5,0.0,478388.88,276607.5,500.0,25.98,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,162
Steve Reilly,H8GA07169,U.S. House Georgia District 7,D,GA,-1.0,-12.73,47342.66,0.0,9216.1,38126.56,0.0,4.1999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,62
Ethan Pham,H8GA07177,U.S. House Georgia District 7,D,GA,-1.0,-12.73,449570.44,0.0,15255.0,276958.88,2250.0,17.84,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,229
Melissa Davis,H8GA07185,U.S. House Georgia District 7,D,GA,-1.0,-12.73,66192.42,0.0,0.0,45092.42,0.0,13.67,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,56
Carolyn Bourdeaux,H8GA07201,U.S. House Georgia District 7,D,GA,1.0,-12.73,2943199.78,7959.01,4486.47,2553486.79,204485.94,27.280001000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,929
Dave Cooper,H8GA09066,U.S. House Georgia District 9,D,GA,0.0,-60.810001,39593.31,0.0,0.0,20493.0,0.0,47.27,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,18
Chalis Montgomery,H8GA10148,U.S. House Georgia District 10,D,GA,0.0,-28.209999,99811.3,0.0,140.34,99165.66,500.0,26.459999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,95
Richard Dien Winfield,H8GA10171,U.S. House Georgia District 10,D,GA,0.0,-28.209999,119100.64,0.0,0.0,102844.92,1169.65,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,104
Tabitha Johnson-Green,H8GA10197,U.S. House Georgia District 10,D,GA,0.0,-28.209999,24773.15,1777.31,5280.0,17115.45,600.39,50.200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1
Francys Johnson,H8GA12078,U.S. House Georgia District 12,D,GA,0.0,-17.629998999999998,282355.12,0.0,20379.69,231602.23,22559.91,52.860001000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,84
Abby Finkenauer,H8IA01094,U.S. House Iowa District 1,D,IA,1.0,-1.73,4601774.98,245249.27,0.0,3631922.82,708114.11,66.800003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,790
Courtney Rowe,H8IA01102,U.S. House Iowa District 1,D,IA,-1.0,-1.73,16287.32,0.0,1776.46,14495.72,15.14,7.5900002,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,11
George Ramsey,H8IA01110,U.S. House Iowa District 1,D,IA,-1.0,-1.73,71612.69,0.0,0.0,50212.69,0.0,6.369999900000001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,33
Thomas Heckroth,H8IA01128,U.S. House Iowa District 1,D,IA,-1.0,-1.73,340829.68,0.0,1623.41,336498.27,0.0,19.120001000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,375
Chris Peters,H6IA02161,U.S. House Iowa District 2,R,IA,-1.0,-9.45800033,846951.16,224072.29,10000.0,342728.87,20000.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,125
Cindy Axne,H8IA03124,U.S. House Iowa District 3,D,IA,1.0,-4.110000100000001,5243411.69,488895.22,7082.3,4234207.41,461976.96,57.799999,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,703
Pete D'Alessandro,H8IA03173,U.S. House Iowa District 3,D,IA,-1.0,-4.110000100000001,372277.85,0.0,250.0,346881.08,9620.0,15.58,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,242
Eddie Mauro,H8IA03181,U.S. House Iowa District 3,D,IA,-1.0,-4.110000100000001,823982.45,0.0,56030.0,247867.0,0.0,26.35,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,178
J.D. Scholten,H8IA04106,U.S. House Iowa District 4,D,IA,0.0,-25.110001,3309882.21,18061.52,27868.85,3045812.62,188827.01,51.259997999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,431
Leann Jacobsen,H8IA04114,U.S. House Iowa District 4,D,IA,0.0,-25.110001,276410.33,0.0,17291.43,190421.4,1000.0,31.92,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,207
John Paschen,H8IA04122,U.S. House Iowa District 4,D,IA,0.0,-25.110001,134554.02,0.0,2725.04,90734.09,133.0,16.719998999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,91
James Vandermaas,H8ID01165,U.S. House Idaho District 1,D,ID,0.0,-39.43,19204.87,0.0,0.0,17247.5,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,16
David Leroy,H4ID01065,U.S. House Idaho District 1,R,ID,-1.0,-39.43,362407.68,0.0,98073.5,240834.18,6500.0,15.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Regular,O,168
Russ Fulcher,H8ID01124,U.S. House Idaho District 1,R,ID,-1.0,-39.43,917403.58,0.0,0.0,625104.7,255820.0,43.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,Regular,O,297
Michael Snyder,H8ID01132,U.S. House Idaho District 1,R,ID,-1.0,-39.43,142729.36,0.0,2013.0,136587.36,0.0,10.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Regular,O,124
Nick Henderson,H8ID01157,U.S. House Idaho District 1,R,ID,-1.0,-39.43,1937.45,0.0,0.0,1937.45,0.0,2.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Regular,O,2
Christy Perry,H8ID01173,U.S. House Idaho District 1,R,ID,-1.0,-39.43,31792.0,0.0,3857.0,11335.0,100.0,11.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Regular,O,16
Alex Gallegos,H8ID01181,U.S. House Idaho District 1,R,ID,-1.0,-39.43,82935.59,0.0,4345.0,67815.0,50.0,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,Regular,O,53
Aaron Swisher,H8ID02148,U.S. House Idaho District 2,D,ID,0.0,-28.809998999999998,133276.77,0.0,100.0,115407.92,12545.0,67.599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,48
Richard Gonzalez,H8IL04126,U.S. House Illinois District 4,D,IL,-1.0,65.089996,47110.0,0.0,0.0,14700.0,0.0,11.9,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,2
Jesus Garcia,H8IL04134,U.S. House Illinois District 4,D,IL,-1.0,65.089996,873126.05,54761.27,0.0,512010.02,301115.9,66.199997,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,330
Sol Flores,H8IL04159,U.S. House Illinois District 4,D,IL,1.0,65.089996,341189.07,0.0,0.0,323939.07,17250.0,21.9,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,340
Mark Wayne Lorch,H8IL04175,U.S. House Illinois District 4,R,IL,-1.0,65.089996,8109.36,0.0,0.0,3700.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,O,4
Jennifer Zordani,H8IL06105,U.S. House Illinois District 6,D,IL,-1.0,0.67000002,110844.0,0.0,6.0,106883.0,500.0,4.099999899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,116
Kelly Mazeski,H8IL06121,U.S. House Illinois District 6,D,IL,1.0,0.67000002,923500.75,0.0,7987.33,583560.57,31222.92,26.799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,580
Sean Casten,H8IL06139,U.S. House Illinois District 6,D,IL,-1.0,0.67000002,6439711.53,97626.67,0.0,5185560.79,441793.54,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,343
Carole Cheney,H8IL06147,U.S. House Illinois District 6,D,IL,-1.0,0.67000002,350684.28,0.0,0.0,346404.48,3750.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,412
Becky Anderson Wilkins,H8IL06154,U.S. House Illinois District 6,D,IL,-1.0,0.67000002,323740.74,0.0,4610.04,282511.04,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,311
Ryan Huffman,H8IL06162,U.S. House Illinois District 6,D,IL,-1.0,0.67000002,8688.83,0.0,670.49,7962.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,6
